Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,FUZZY_LOGIC,100,3051.9439,0.5142,182.7846,0.0308,5980,5933,0,2,0,45,0,680,680,2307,2307,2993,2946,10653.0,2872.0,10653.0,2135.4399999998714,0.0,0.0,102.79820133289974,5.9979,1.99,16.6791,5.8867,0.711,0.007,0.0582,0.0582,0.1159,0.1159,0.5369,0.0054,0,33.7243,99.9699,-1.0,[99.93652112592594- 99.93589362962963- 99.87495466666667- 99.92993013333334- 99.95245534814815- 99.98219685925926- 99.93497605925926- 99.95451502222224- 99.97263543703704- 99.99137546666667- 99.9465034074074- 99.93885197037037- 99.89280882962963- 99.97970654814814- 99.8835786074074- 99.8912144- 99.99584231111112- 99.97957202962964- 99.98104527407408- 99.99574281481482- 99.93609238518519- 99.92363354074074- 99.97073398518518- 99.99255075555556- 99.93492657777777- 99.94579911111111- 99.94905931851851- 99.96865505185185- 99.92543745185185- 99.99606447407407- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,FUZZY_LOGIC,200,6125.3031,0.5616,644.4679,0.0591,11080,10874,0,32,0,174,0,1480,1480,3836,3821,5764,5573,28135.0,12534.0,28135.0,5443.3200000011675,0.0,0.0,111.65520166118651,6.1451,3.9675,29.4485,5.969,1.6923,0.0084,0.109,0.109,0.256,0.256,1.3274,0.0066,0,33.7232,99.9639,-1.0,[99.93435697777778- 99.91699413333333- 99.97068545185185- 99.89193149629628- 99.97150518518518- 99.94989943703705- 99.97364414814814- 99.98994411851854- 99.9383851851852- 99.98843531851853- 99.92182844444444- 99.97662554074073- 99.96904877037036- 99.9355890962963- 99.82647804444444- 99.91944918518517- 99.86508444444445- 99.98521457777777- 99.82399247407407- 99.93559063703705- 99.99200693333333- 99.9595173925926- 99.79471496296297- 99.90622050370371- 99.92711496296296- 99.93976005925927- 99.9267266962963- 99.95927111111111- 99.97777712592593- 99.99544485925927- 99.98384551111111- 99.93140112592593- 99.90771537777778- 99.92863377777779- 99.94042708148147- 99.97413072592593- 99.91942127407407- 99.97184888888889- 99.91881256296296- 99.90872557037036- 99.96456788148147- 99.92667075555556- 99.83505007407406- 99.93378962962962- 99.99731555555556- 99.99040551111112- 99.98126743703702- 99.9090554074074- 99.92175875555556- 99.90680296296296- 99.99200693333333- 99.97809878518518- 99.89336011851852- 99.9812792888889- 99.90762998518518- 99.92437048888888- 99.9492717037037- 99.96741374814815- 99.98240124444443- 99.9951469037037- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,FUZZY_LOGIC,300,11251.5252,0.628,936.6732,0.0523,18310,17850,0,69,0,391,0,2110,2110,4395,4361,11805,11379,48821.0,23131.0,48821.0,7394.070000003608,0.0,0.0,136.57975071476392,8.0324,5.2687,29.5217,7.9284,2.5829,0.0086,0.137,0.137,0.1804,0.1804,2.2656,0.0076,0,33.7204,99.9491,-1.0,[99.95386222222223- 99.85758068148148- 99.87672319999999- 99.96839389629629- 99.93019757037038- 99.98727715555556- 99.95800225185185- 99.96794334814814- 99.82622672592593- 99.91439525925927- 99.95325742222222- 99.95590654814815- 99.87179834074074- 99.93150257777776- 99.68104088888889- 99.90339235555557- 99.87108047407408- 99.88851010370371- 99.81127419259259- 99.89524628148149- 99.82931834074073- 99.82818980740743- 99.89401848888889- 99.88472414814815- 99.99731555555556- 99.87671158518519- 99.94392432592593- 99.80328687407406- 99.83145594074074- 99.85359816296298- 99.87206761481481- 99.94804361481482- 99.88202678518519- 99.98967484444444- 99.89934838518519- 99.84428183703704- 99.93503834074073- 99.93575508148149- 99.97808693333333- 99.88442939259258- 99.8842744888889- 99.97018192592593- 99.93470210370371- 99.93275105185185- 99.80681007407406- 99.9865058962963- 99.76523247407408- 99.91612468148149- 99.9252610962963- 99.89846720000001- 99.92906654814814- 99.87146808888889- 99.83124017777777- 99.93168971851851- 99.95167093333333- 99.91230477037037- 99.98772171851851- 99.94378210370371- 99.99731555555556- 99.94755602962964- 99.99341594074075- 99.87908711111112- 99.93869475555556- 99.89905564444445- 99.90080420740739- 99.91501475555555- 99.84899840000001- 99.89698619259259- 99.9299813925926- 99.99490103703704- 99.91722394074074- 99.90988687407409- 99.9939716148148- 99.90456515555555- 99.99343964444444- 99.99436906666666- 99.95012385185186- 99.88677754074074- 99.90688924444446- 99.99611685925926- 99.99289582222222- 99.98778595555557- 99.91908005925924- 99.96089291851852- 99.91745208888888- 99.97420509629629- 99.89793487407408- 99.87328124444444- 99.98274275555555- 99.96343093333333- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,INCREASE_LIFETIME,100,1024.9583,0.2122,464.9878,0.0963,5490,4830,0,660,0,0,0,2708,2048,2782,2782,0,0,39659.0,32012.0,39659.0,3465.0499999999747,0.0,0.0,14.964560623606898,0.465,4.6423,24.1875,0,0.7774,0.0076,0.1554,0.1554,0.2092,0.2092,0.4128,0.0041,0,33.7253,99.9748,-1.0,[99.90405925925926- 99.98251851851852- 99.99731555555556- 99.90441481481481- 99.99731555555556- 99.98251851851852- 99.98251851851852- 99.99731555555556- 99.90524444444445- 99.90488888888889- 99.98251851851852- 99.90477037037036- 99.99284148148148- 99.98251851851852- 99.90559999999999- 99.98251851851852- 99.98251851851852- 99.90488888888889- 99.90494814814815- 99.90571851851853- 99.90565925925927- 99.99284148148148- 99.90571851851853- 99.99731555555556- 99.98251851851852- 99.99284148148148- 99.98251851851852- 99.99284148148148- 99.99731555555556- 99.98251851851852- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,INCREASE_LIFETIME,200,3574.0504,0.3107,681.217,0.0592,12360,11445,0,898,0,17,0,3041,2187,8125,8083,1194,1175,159772.0,135771.0,159772.0,5526.600000001405,0.0,0.0,30.973070852089652,2.2217,4.8512,55.2808,1.7576,1.4408,0.0071,0.1811,0.1811,0.3251,0.3251,0.9347,0.0047,0,33.7278,99.9883,-1.0,[99.99731555555556- 99.98251851851852- 99.98251851851852- 99.99286589629631- 99.99287348148148- 99.99284148148148- 99.99732266666666- 99.99731614814816- 99.99731614814816- 99.99731555555556- 99.99284148148148- 99.99284148148148- 99.99731555555556- 99.99731555555556- 99.98251851851852- 99.99287988148149- 99.9035851851852- 99.98251851851852- 99.9037037037037- 99.99289007407407- 99.90360296296296- 99.99284835555554- 99.99731555555556- 99.99731555555556- 99.98251851851852- 99.99284148148148- 99.99284148148148- 99.90364444444445- 99.90445037037038- 99.9973202962963- 99.99284171851852- 99.99731555555556- 99.99731555555556- 99.99284171851852- 99.904- 99.99291448888889- 99.99284148148148- 99.98266666666666- 99.98251851851852- 99.99284148148148- 99.99731555555556- 99.90450962962963- 99.99284148148148- 99.99284195555555- 99.9826074074074- 99.99289007407407- 99.99731911111111- 99.99731733333334- 99.99292823703705- 99.99284148148148- 99.98251851851852- 99.99284148148148- 99.99286660740741- 99.98251851851852- 99.99731555555556- 99.99731555555556- 99.90512592592593- 99.99731614814816- 99.98251851851852- 99.9928794074074- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,INCREASE_LIFETIME,300,7014.4525,0.4032,1109.3315,0.0638,18570,17083,0,1408,0,79,0,3707,2641,10505,10169,4358,4273,255418.0,213524.0,255418.0,10025.190000005245,0.0,0.0,65.54970947172741,3.5848,5.2529,74.0296,3.1841,3.0016,0.0099,0.1911,0.1911,0.6011,0.6011,2.2094,0.0074,0,33.7248,99.9795,-1.0,[99.98287407407409- 99.99738074074075- 99.90398814814816- 99.90445037037038- 99.90383407407407- 99.9928775111111- 99.90489481481482- 99.98272592592593- 99.98293333333334- 99.9037037037037- 99.90460444444444- 99.98257777777778- 99.98284444444444- 99.98266666666666- 99.9826074074074- 99.98266666666666- 99.90378666666668- 99.99732444444443- 99.99293487407408- 99.99290998518518- 99.99287798518519- 99.99732562962961- 99.99289765925926- 99.98251851851852- 99.9973197037037- 99.99731911111111- 99.99293914074075- 99.9928805925926- 99.90401777777778- 99.99744355555555- 99.98266666666666- 99.9928768- 99.99292302222221- 99.90431407407408- 99.99737599999999- 99.99300645925926- 99.90418962962963- 99.9038162962963- 99.99731614814816- 99.99286613333334- 99.99290192592593- 99.99732266666666- 99.99286589629631- 99.98275555555554- 99.9037511111111- 99.98251851851852- 99.98251851851852- 99.98266666666666- 99.90504888888889- 99.98263703703705- 99.99731555555556- 99.99291472592594- 99.90511407407406- 99.99732325925928- 99.99744177777778- 99.98272592592593- 99.9827851851852- 99.98263703703705- 99.99297256296296- 99.9829037037037- 99.90403555555555- 99.99286589629631- 99.98251851851852- 99.98254814814815- 99.99731614814816- 99.99738903703702- 99.99731674074074- 99.9973197037037- 99.99295146666667- 99.98308148148148- 99.99284148148148- 99.99286589629631- 99.9829037037037- 99.90429037037036- 99.9826962962963- 99.99732740740741- 99.9827851851852- 99.90424888888889- 99.98293333333334- 99.99731733333334- 99.90427851851852- 99.90418962962963- 99.99731555555556- 99.9827851851852- 99.99293084444444- 99.99731555555556- 99.9928926814815- 99.9829925925926- 99.98281481481482- 99.99737599999999- 99.99900252525252- 99.99702941335057- 99.99861744670909- 99.9976621194148- 99.99726499874185- 99.98577334735252- 99.99881811891153- 99.9973494733815- 99.9791221826809- 99.98942089938531- 99.98578628814839- 99.99117284949136- 99.99976441460872- 99.99446178870556- 99.99976441460872- 99.9908960602466- 99.97013506955678- 99.98890439088393- 100.0- 99.99658956109134- 99.98766746647973- 99.99861744670909- 99.99900252525252- 99.97705376720945- 99.99863447643696- 99.99905765843488- 99.98947266256874- 99.9877417861893- 99.97266625328012- 99.96389203422123- 99.99999604586793- 99.98504947158418- 99.99769213487184- 99.98862050217477- 99.98988254430425- 99.9981732808512- 100.0- 99.96803043783025- 99.98025301951904- 99.97333531039938- 99.99976441460872- 99.99453790574786- 99.98280851216795- 99.99714399331393- 99.97180501635572- 99.99281183723355- 99.99738353283728- 99.97408560695926- 99.99768818073979- 99.99777625004494- 99.9842897839606- 99.99726895287392- 99.9889948865883- 99.99999011466983- 99.98510065063446- 99.99267811567634- 99.9939178259463- 99.99970532729431- 99.99317238218484- 99.99900252525252],[]
